start_dt,match_type,rule,map_type,map,cost,result,medi_rating,num_member,num_ally_raid,num_ally_general,num_ally_support,num_ally_disconnect,num_enemy_raid,num_enemy_general,num_enemy_support,num_enemy_disconnect,ally_team,my_ms,my_category,new_rating,result_rival,score,assist,damage,diversion,defeat_cnt,loss_cnt,chase_assist
2021-08-25T23:41:42.242706,レーティングマッチ,エースマッチ,宇宙,資源衛星,500,win,A,6,1,4,1,0,1,4,1,0,team_b,フルアーマー・ガンダム【TB】,強襲,2449,lose,2250,150,70060,0.1737,4,3,17100
2021-08-25T23:55:33.440064,レーティングマッチ,ベーシック,地上,北極基地,650,lose,A+,5,1,3,1,0,1,3,1,0,team_a,Ζガンダム［HML］,支援,2587,win,2325,975,103775,0.1364,2,3,10700
2021-08-26T00:14:06.872691,レーティングマッチ,エースマッチ,宇宙,廃墟コロニー,600,win,A+,5,1,3,1,0,1,3,1,0,team_a,ガンダム試作4号機,支援,2463,win,3760,1260,88606,0.2375,4,3,9900
2021-08-26T00:43:07.081172,レーティングマッチ,ベーシック,地上,北極基地,700,lose,A+,5,0,4,1,0,0,4,1,0,team_b,Ζガンダム［HML］,支援,2573,lose,4675,1050,121028,0.1431,5,2,16500
2021-08-26T01:00:22.693626,レーティングマッチ,ベーシック,地上,北極基地,700,win,A+,5,0,4,1,0,0,4,1,0,team_b,Ζガンダム［HML］,支援,2589,win,3015,1035,112317,0.2049,2,2,15800
2021-08-26T21:40:25.069230,カスタムマッチ,エースマッチ,地上,熱帯砂漠,650,win,A+,5,1,3,1,0,1,3,1,0,team_b,トーリス・リッター,汎用,,lose,5255,1755,119862,0.1889,3,2,32700
2021-08-26T21:51:57.061142,カスタムマッチ,エースマッチ,地上,熱帯砂漠,650,win,A+,5,1,3,1,0,1,3,1,0,team_a,トーリス・リッター,汎用,,lose,8535,585,85405,0.154,6,3,8700
2021-08-26T23:34:45.380412,レーティングマッチ,エースマッチ,地上,廃墟都市,400,lose,A,6,1,4,1,0,1,4,1,0,team_b,アクア・ジム,汎用,2579,win,3575,600,69025,0.1218,5,2,6200
2021-08-26T23:48:24.006916,レーティングマッチ,エースマッチ,地上,廃墟都市,400,win,A+,6,2,3,1,0,1,4,1,0,team_a,ジュアッグ,支援,2592,win,1960,960,44455,0.1252,2,3,500
2021-08-27T00:03:01.725509,レーティングマッチ,ベーシック,地上,廃墟都市,650,win,A+,6,1,4,1,0,1,4,1,0,team_b,ガブスレイ,汎用,2609,win,4127,780,60401,0.2576,4,3,12000
